lambda [nm]	x_LMK(lambda)	x_CIE(lambda)	y_LMK(lambda)	y_CIE(lambda)	z_LMK(lambda)	z_CIE(lambda)
400	0.0169	0.0143	0.0037	0.0004	0.0596	0.0679
410	0.0452	0.0435	0.0060	0.0012	0.2643	0.2074
420	0.1600	0.1344	0.0146	0.0040	0.7887	0.6456
430	0.2902	0.2839	0.0277	0.0116	1.3639	1.3856
440	0.3546	0.3483	0.0375	0.0230	1.7268	1.7471
450	0.3384	0.3362	0.0462	0.0380	1.7879	1.7721
460	0.2859	0.2908	0.0629	0.0600	1.6736	1.6692
470	0.1855	0.1954	0.0841	0.0910	1.2816	1.2876
480	0.0880	0.0956	0.1230	0.1390	0.8100	0.8130
490	0.0351	0.0320	0.2078	0.2080	0.4722	0.4652
500	0.0179	0.0049	0.3521	0.3230	0.2872	0.2720
510	0.0197	0.0093	0.5328	0.5030	0.1453	0.1582
520	0.0545	0.0633	0.6963	0.7100	0.0682	0.0782
530	0.1481	0.1655	0.8390	0.8620	0.0296	0.0422
540	0.2882	0.2904	0.9242	0.9540	0.0203	0.0203
550	0.4262	0.4334	0.9517	0.9950	0.0209	0.0087
560	0.5766	0.5945	0.9684	0.9950	0.0146	0.0039
570	0.7543	0.7621	0.9438	0.9520	0.0000	0.0021
580	0.9450	0.9163	0.8700	0.8700	0.0000	0.0017
590	1.0590	1.0263	0.7785	0.7570	0.0000	0.0011
600	1.0429	1.0622	0.6400	0.6310	0.0000	0.0008
610	1.0026	1.0026	0.5111	0.5030	0.0000	0.0003
620	0.8700	0.8544	0.3806	0.3810	0.0000	0.0002
630	0.6344	0.6424	0.2573	0.2650	0.0001	0.0000
640	0.4296	0.4479	0.1692	0.1750	0.0000	0.0000
650	0.2544	0.2835	0.0982	0.1070	0.0000	0.0000
660	0.1454	0.1649	0.0551	0.0610	0.0002	0.0000
670	0.0779	0.0874	0.0281	0.0320	0.0006	0.0000
680	0.0385	0.0468	0.0133	0.0170	0.0000	0.0000
690	0.0190	0.0227	0.0060	0.0082	0.0002	0.0000
700	0.0094	0.0114	0.0026	0.0041	0.0000	0.0000
